                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1555,                 1.4143,                 1.5392,                0.88969,                0.82719,                0.91297,                0.61481,                 1.0604,                0.84711,                 1.4969,               0.006733,               0.006733,               0.006733
                     35,                 1.1452,                 1.3974,                 1.5422,                0.92003,                0.81126,                 0.9086,                 0.6619,                0.97803,                0.76119,                 1.4369,               0.006634,               0.006634,               0.006634
                     36,                 1.1463,                 1.3885,                 1.5365,                0.83706,                0.85619,                0.92149,                0.64692,                 1.0101,                0.78467,                 1.4199,               0.006535,               0.006535,               0.006535
                     37,                 1.1426,                  1.383,                 1.5421,                0.95812,                0.80128,                0.92016,                0.66061,                0.97445,                0.77703,                 1.4155,               0.006436,               0.006436,               0.006436
                     38,                 1.1262,                 1.3878,                 1.5295,                0.91426,                0.85897,                 0.9214,                0.66068,                0.96025,                0.77692,                 1.4275,               0.006337,               0.006337,               0.006337
                     39,                 1.1256,                 1.3628,                  1.525,                0.85127,                0.84387,                0.88692,                0.62969,                 1.0041,                0.83957,                 1.4091,               0.006238,               0.006238,               0.006238
                     40,                 1.1264,                 1.3686,                 1.5288,                0.90759,                0.83333,                0.92333,                0.65335,                 1.0353,                0.79936,                 1.4454,               0.006139,               0.006139,               0.006139
                     41,                 1.1023,                 1.3361,                 1.5064,                0.87677,                0.86654,                0.92544,                0.65534,                0.95716,                0.73644,                 1.4148,                0.00604,                0.00604,                0.00604
                     42,                 1.0989,                  1.339,                  1.499,                0.95319,                0.78313,                0.90524,                0.64434,                0.98581,                0.79927,                 1.4466,               0.005941,               0.005941,               0.005941
                     43,                 1.0916,                 1.3334,                 1.5029,                0.83791,                 0.8947,                0.92077,                 0.6598,                0.90971,                0.73238,                 1.3653,               0.005842,               0.005842,               0.005842
                     44,                 1.0899,                 1.3048,                 1.4958,                0.93912,                0.89103,                 0.9468,                0.70913,                0.88496,                0.68658,                 1.3181,               0.005743,               0.005743,               0.005743
                     45,                 1.0949,                 1.3275,                 1.5005,                 0.9711,                0.86148,                0.94324,                0.70987,                0.87893,                0.65859,                 1.3379,               0.005644,               0.005644,               0.005644
                     46,                 1.0953,                 1.3061,                 1.4915,                0.93096,                0.86442,                 0.9171,                0.67573,                0.90646,                0.80151,                 1.3312,               0.005545,               0.005545,               0.005545
                     47,                 1.0855,                 1.3122,                 1.4864,                0.88833,                0.91786,                0.94609,                0.69005,                0.92318,                0.70688,                 1.3707,               0.005446,               0.005446,               0.005446
                     48,                 1.0751,                 1.2844,                  1.478,                0.91928,                  0.876,                0.94239,                0.69479,                0.95729,                0.73294,                 1.4091,               0.005347,               0.005347,               0.005347
                     49,                 1.0756,                 1.2752,                 1.4816,                0.88606,                0.84743,                0.93144,                0.68474,                0.92117,                0.68602,                 1.3807,               0.005248,               0.005248,               0.005248
                     50,                 1.0644,                 1.2665,                 1.4756,                0.91882,                0.87064,                0.93762,                  0.699,                0.92105,                0.68931,                 1.3727,               0.005149,               0.005149,               0.005149
                     51,                  1.062,                 1.2499,                   1.47,                0.92164,                0.85256,                0.93431,                0.71643,                0.87109,                0.65196,                 1.3267,                0.00505,                0.00505,                0.00505
